Author_name,#Followers,Author Following,Account Created,Verified,Location,Text,Length,likes,Language,Retweets,Time
Cashkarocom,39834,8425,2012-10-12 11:01:18,True,"Plot No. 35P, Sec 44, Gurgaon","Stay home &amp; order everything that you need online via CashKaro! Shop for all types of essentials on @BigBazaar, @amazonIN, ITC &amp; more topped with CashKaro Cashback.
Order now: https://t.co/yMh1tTJJ3F
.
#essentials #YouGetMore #orderonline #FightCoronaTogether #StayHome #CashKaro https://t.co/dPq3ke1hVO","[0, 287]",1,en,0,2021-04-19 07:39:00
iamabdulmac,35,280,2017-06-18 12:24:06,False,"Malappuram (Ernad), India",RT @SamsungIndia: Get notified on @amazonIN https://t.co/6NVmQJCMjO or Samsung Online Store https://t.co/2TFcFskr41. Stay tuned for the lau…,"[0, 140]",0,en,1,2021-04-19 07:38:42
mashish09,9,81,2015-12-14 10:06:04,False,,@amazonIN I have ordered oneplus buds on 10th April your system says it’s delivered but I haven’t received and when I chatted customer representative they give me dates before said 16th then 19th and now 21st what service Amazon provides to its customers???,"[0, 257]",0,en,0,2021-04-19 07:38:19
abrarah41946400,12,108,2013-12-25 11:57:30,False,,"@amazonIN &amp; @OnePlus_IN 
#AmazonMobilelnsider #OnePlus9Series https://t.co/7tgbZkEqsL","[0, 65]",0,und,0,2021-04-19 07:38:15
Viral0286,19,70,2009-12-01 12:21:10,False,Mumbai,@amazonIN pity to see no reverts from Amazon on this,"[0, 52]",0,en,0,2021-04-19 07:37:45
Santosh46068927,23,118,2016-09-01 12:05:05,False,"Bengaluru, India","@amazonIN @OnePlus_IN 
#amazonmobilelnsider #OnePlus9Series5G https://t.co/gWrhTy74aJ","[0, 61]",0,und,0,2021-04-19 07:37:38
pranjalipatil,20,73,2009-06-21 05:32:27,False,"Mumbai, India",@AmazonHelp @amazonIN Can you please share emi reference number,"[22, 63]",0,en,0,2021-04-19 07:37:33
Viral0286,19,70,2009-12-01 12:21:10,False,Mumbai,"RT @Viral0286: @amazonIN @mybmc 
Amazon is cheating customers by selling their own brand in Mumbai as essential product and same product of…","[0, 140]",0,en,1,2021-04-19 07:37:08
nomadic_boho,4,24,2020-04-23 10:22:29,False,"New Delhi, India","@IqooInd @amazonIN Snapdragon 870? 
But Iqoo 7 come with Snapdragon 888","[19, 71]",0,nl,0,2021-04-19 07:36:47
ShrutiShyanti,1,7,2020-07-13 16:33:27,False,,Dear @MiIndiaSupport please launch your phones on @amazonIN only. I asked Flipkart associate to escalate the call as he told his lead rejected it. He told there is no such option available. He rejected return stating he can't help and updated 'issue resolved with troubleshooting',"[0, 280]",0,en,0,2021-04-19 07:35:00
Sabarishsukumar,0,72,2020-12-22 15:14:11,False,"Chennai, India",RT @amazonIN: Heartfelt congratulations to all winners for their stellar performance in the Entrepreneurship Challenge at #AmazonSmbhav! Yo…,"[0, 140]",0,en,10,2021-04-19 07:33:57
varunlachhwani,8,35,2013-05-09 10:22:47,False,,"Hey @amazonIN I have ordered OnePlus 9r on 14th, the package had arrived my city on 17th and it was at final delivery station on 18th early morning around 6:40 a.m. The package is supposed to be delivered today but it is still not out for delivery, plz look into the issue ASAP. https://t.co/aN2XgAu5Gp","[0, 278]",0,en,0,2021-04-19 07:33:55
nomadic_boho,4,24,2020-04-23 10:22:29,False,"New Delhi, India","RT @IqooInd: The ultimate duo is here!

The Dual Chipset in iQOO 7 - Dual Chip Monster with with Qualcomm Snapdragon 870 + Intelligent Disp…","[0, 140]",0,en,37,2021-04-19 07:32:32
abhaysingh78_,20,118,2013-03-20 13:09:05,False,,"A Very Pathetic Delivery of Product Experienced by me today done by Amazon Distributor - Cloudtail India. 
During these pandemic days the responsibility of Delivering the good in proper ways isn't learnt by Amazon India  @AmitAgarwal @amazonIN @amazon https://t.co/Prw3T5eWkf","[0, 251]",0,en,0,2021-04-19 07:32:01
b_khan96,8,16,2013-03-29 06:45:31,False,Jammu And Kashmir,"To return it back to @amazonIN and have my money back. Also, despite having an AMOLED display, there's no support of #SuperWallpaper in #RedmiNote10ProMax I've been a user of @XiaomiIndia products since 2017 and I've had none problems with those devices and my last device was","[0, 276]",0,en,0,2021-04-19 07:31:26
b_khan96,8,16,2013-03-29 06:45:31,False,Jammu And Kashmir,I've to touch the screen again and again in order for the phone to recognize my touch gesture. I bought the phone from @amazonIN and I've been using it for 4 days. Is this a hardware issue or a software based issue? Cause this problem is really annoying and I've still the option,"[0, 279]",0,en,0,2021-04-19 07:31:25
ShieldVoC,17698,98,2019-06-08 15:40:33,False,"Stockholm, Sweden","RT @RahulAhir_: @amazonIN @AmazonHelp 
My order delivered in 9/April
Bat not receive 
Up to 11day not helping customers service and not soc…","[0, 140]",0,en,1,2021-04-19 07:31:21
iBoxBurner,757,66,2009-07-29 16:44:15,False,Ghaziabad,"Have ordered from @amazonIN and @PaytmMall and facing nightmares for a satisfactory answer. 
@amazonIN don't know the number of delivery boy and @PaytmMall has delivered my order though I haven't received it.","[0, 208]",0,en,0,2021-04-19 07:31:14
pan12bhavisha,67,164,2014-09-26 11:20:05,False,Mumbai,@amazonIN before placing the order you must confirm if KYC is required. This is totally unexpected behaviour of delivery boy to deny to parcel at door for not completing KYC.,"[0, 174]",0,en,0,2021-04-19 07:30:58
ShieldVoC,17698,98,2019-06-08 15:40:33,False,"Stockholm, Sweden",RT @satishsingh1221: Dear @amazonIN @AmazonHelp @Uber_Support @UberINSupport @Uber Unable to add Amazon as a payment method for Uber rides.…,"[0, 140]",0,en,1,2021-04-19 07:30:16
SamsungIndia,2456141,10,2009-06-10 15:15:13,True,Gurgaon,"Get notified on @amazonIN https://t.co/6NVmQJCMjO or Samsung Online Store https://t.co/2TFcFskr41. Stay tuned for the launch of #GalaxyM42 5G on 28th April, 12 noon.","[0, 165]",45,en,1,2021-04-19 07:30:02
sarvesh54365728,12,13,2021-03-01 07:17:48,False,,RT @AimraNawada: @sureshjumani4 @AimraIndia @PiyushGoyal @PiyushGoyalOffc @CimGOI @DIPPGOI @dir_ed @cbic_india @FinMinIndia @PMOIndia @nsit…,"[0, 140]",0,hi,5,2021-04-19 07:29:18
18_cxxx,4,72,2020-12-02 07:19:08,False,"Ahmadabad City, India",RT @ImanpreetSingh9: @Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @a…,"[0, 140]",0,en,7,2021-04-19 07:29:04
Harsh_0333,4,15,2020-07-24 16:14:43,False,,RT @LeBharathRoi: @Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @amaz…,"[0, 140]",0,en,1,2021-04-19 07:29:01
shahbaztemkar,54,196,2010-05-10 20:20:37,False,"Mumbai, India","Yes tried reaching your customer care which has no solution. And I am feeling cheated. Hadn’t I weighed the beans I wouldn’t have realised that it’s at least a kg less. See the weight mention on this parcel bag and details of my order. 
@amazon @amazonIN @AmazonHelp https://t.co/OsCiVwFqCq https://t.co/b4Uj9DtTTp","[0, 290]",0,en,0,2021-04-19 07:28:47
LeBharathRoi,6,87,2020-09-29 15:39:26,False,,@Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @amazonIN @SmithAndrewR @soniaTCSCanada @MiaYenCanada @CitImmCanada @CanadainIndia @nadirypatel @JustinTrudeau @marcomendicino @SonuSood Please don't play with our lives ! We are mentally dying everyday ! 2 people commited suicide already ! Pls don't play with students ! #StudentLivesMatter #JUSTICEFORQEUEBCSTUDENTS https://t.co/3IPMs8WqEQ,"[156, 433]",0,en,1,2021-04-19 07:28:15
ziayul_khan,28,76,2015-11-17 03:41:05,False,,Sir hamne Xiaomi mi lite watch kharidi thi Amazon sa se aor ham ab India me hain wo watch ham connect nhi kar pa rhe hain plz help @MiIndiaSupport @XiaomiIndia @XiaomiIndia @Xiaomi @amazon @amazonIN @amazon,"[0, 206]",1,en,0,2021-04-19 07:27:38
prabhud19,1011,174,2011-04-05 14:47:42,False,Chennai,@Sanjay_Pinto @BlueDart_ @BlueDartCares apparently you dont do @amazonIN  shopping - absolutely contactless.,"[40, 108]",0,en,0,2021-04-19 07:26:53
kaurlovey2,11,12,2019-12-23 15:25:54,False,"Jalandhar, India",RT @ImanpreetSingh9: @Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @a…,"[0, 140]",0,en,7,2021-04-19 07:26:48
aksharec,86,626,2010-06-03 07:02:59,False,,@flipkartsupport don't you have time to respond to this. @amazonIN @amazon,"[0, 74]",0,en,0,2021-04-19 07:26:43
28Simranjeet,6,23,2020-11-27 07:08:27,False,,RT @ImanpreetSingh9: @Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @a…,"[0, 140]",0,en,7,2021-04-19 07:25:38
mohitsi82055670,0,0,2021-04-19 03:55:53,False,,RT @ImanpreetSingh9: @Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @a…,"[0, 140]",0,en,7,2021-04-19 07:25:32
aman1999s,15,94,2018-04-21 17:50:47,False,vadodara,RT @ImanpreetSingh9: @Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @a…,"[0, 140]",0,en,7,2021-04-19 07:25:25
ShieldVoC,17698,98,2019-06-08 15:40:33,False,"Stockholm, Sweden","RT @Ali_Champarni: I did order a product by https://t.co/sEOWYrc6RQ,
But Product got delivered without deliver to me

@amazon 
@amazonIN 
@…","[0, 140]",0,en,3,2021-04-19 07:25:09
Gurleen37194561,6,29,2020-08-28 18:09:21,False,,RT @ImanpreetSingh9: @Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @a…,"[0, 140]",0,en,7,2021-04-19 07:24:05
SenanSamjith,14,28,2021-03-23 07:50:16,False,,"@amazonIN I raised the issue and customer care told me that the product cost will be credited to my account in 48 hours. @amazon sometimes time, hope, trust and morality matters more than money. #losttime #TrustIssues #poormorale #losthope #devastated","[0, 251]",0,en,0,2021-04-19 07:23:52
ImanpreetSingh9,29,166,2020-11-16 15:45:56,False,"Punjab, India",@Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @amazonIN @SmithAndrewR @soniaTCSCanada We want justice. Give results to Quebec students . Wake up @CitImmCanada #JusticeForQuebecStudents @CitImmCanada @CitImmCanFR @JustinTrudeau @theJagmeetSingh https://t.co/lBRuGtUdJG https://t.co/NE8a9JhWyN https://t.co/49Ii3AsPR2,"[156, 361]",1,en,7,2021-04-19 07:23:19
STPIGoa,487,899,2018-07-03 11:09:33,False,"Altinho, Panaji, Goa","RT @aristavault: We have a better solution for you to stay safe in this covid-19. 
NABL certified UV-C sanitization Shuddhi basket to fight…","[0, 140]",0,en,2,2021-04-19 07:23:19
ImanpreetSingh9,29,166,2020-11-16 15:45:56,False,"Punjab, India",@Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @amazonIN @SmithAndrewR @soniaTCSCanada https://t.co/AaY0ibvPUe,"[155, 155]",0,und,0,2021-04-19 07:23:09
Abhiman70221921,17,222,2019-01-07 12:05:43,False,"Sasaram, India",@amazonIN #AmazonSpinandWin https://t.co/Xcqu3nVAl2,"[0, 27]",0,und,0,2021-04-19 07:22:49
vor_pr,1,25,2020-04-12 15:03:43,False,,"RT @IqooInd: The ultimate duo is here!

The Dual Chipset in iQOO 7 - Dual Chip Monster with with Qualcomm Snapdragon 870 + Intelligent Disp…","[0, 140]",0,en,37,2021-04-19 07:22:08
avantik49770136,23,80,2014-02-05 07:49:14,False,"New Delhi, India",What’s with the new Amazon shopping interface ? I cannot contact customer support @amazon @amazonIN #missingitems #CustomerService,"[0, 130]",0,en,0,2021-04-19 07:20:15
Vinodbharatra9,23,99,2017-07-06 09:23:24,False,Malad,"@AmazonFresh @JeffBezos @amazon @AmazonHelp @amazonIN I ordered from @AmazonFresh and I received a wrong delivery(Yakult instead of Ice Cream) when I asked for my money back they said 5 working day, see the height of struggle of a common man.@ANI @ZeeNews https://t.co/ypyVHYSqoT","[0, 255]",0,en,0,2021-04-19 07:20:11
SenanSamjith,14,28,2021-03-23 07:50:16,False,,"Feeling Horrible @amazon @JeffBezos 
I ordered a remote control car via @amazonIN for my nephew's birthday and I received an old ZTE battery instead.
It was a devastating experience as I wanted to gift something beautiful to my nephew &amp; I put my trust on @amazon i regret it now. https://t.co/PMN0mZrMnW","[0, 283]",0,en,0,2021-04-19 07:20:05
sushilsharma963,31,63,2011-09-07 06:03:34,False,"Jammu, J&K ",RT @sushilsharma963: I request everyone #boycott @XpressBees_IN courier company @Paytm @realmemobiles @makeinindia @amazonIN @Safexpress @a…,"[0, 140]",0,en,1,2021-04-19 07:20:02
GautamChaudhur6,21,27,2017-09-10 03:01:48,False,,@JioMart my reference number is.6185772149  . 48 hours gone till you people not solve the problem. IT means the store person cheated me? Nice practice... ordered 4 litres of refined oil but delivered only one litre....@JioMart_Support @bigbasket_com @amazonIN @RelianceFreshIN,"[0, 276]",0,en,0,2021-04-19 07:19:55
Biju11218746,61,36,2017-10-15 12:35:26,False,,"@barandbench @amazonIN See what @AmitAgarwal is doing is that for getting personal benefit, he is targeting vendors family, destroying shareholders wealth, creditors, lenders nd creating job losses by blocking this deal.. Throw this East India Company from here just like china did.. @JeffBezos","[23, 294]",0,en,0,2021-04-19 07:17:39
SurajKu20609681,0,78,2018-02-20 18:58:35,False,,@amazonIN,"[0, 9]",0,und,0,2021-04-19 07:16:46
ShieldVoC,17698,98,2019-06-08 15:40:33,False,"Stockholm, Sweden",RT @EddieDaniel81: @amazon @AmazonHelp @amazonIN Amazon has gone from bad to worst... Their is no reliability on buying products from Amazo…,"[0, 140]",0,en,1,2021-04-19 07:16:17
Deb00179937,3,177,2019-08-30 17:49:53,False,,@AmazonHelp did not give my money refund in my BANK ACCOUNT they are a FRAUD COMPANY. @amazonIN,"[0, 95]",0,en,0,2021-04-19 07:16:00
powar_sachin,13,3,2012-05-23 16:48:03,False,,"@vlebazaar_in During this pandemic crisis, I was hoping that u would bring some joy to my daughter's face but little did I know that u would ruin their b'day by sending fake product.
Copying price, SKU, description, image from @amazonIN but delivering a cheap product is pathetic! https://t.co/w7A34FNg7O","[0, 280]",0,en,0,2021-04-19 07:15:10
chiranjeev_007,48,100,2015-04-28 04:52:44,False,"Siliguri, India","@AmazonHelp @amazonIN 

Kindly do the needfull.
Seller didin't shipped it yet.
I need it on urgent basis. https://t.co/AlvjFFR2Jo","[0, 105]",0,en,0,2021-04-19 07:13:58
GowdaINNagesh3,4,79,2019-09-22 08:25:33,False,"Krishnarajpet, India","@AmazonHelp @deepolice12 @PMOIndia @amazonIN
@AddlCPCrime answer me sir, what happened this order, 15 days gone already, where is my order #don't purchase amazon any products https://t.co/BmjAmGdXyP","[0, 174]",0,en,0,2021-04-19 07:13:53
ServicesforOnl1,1,8,2020-07-18 10:17:07,False,,Dear @AmazonHelp @amazonIN  My bank account is lock bcoz we had taken a loan to lending partner; now we have paid them fully and got NOC. They have also confirmed that they have forwarded to unlock our bank account but bank account is still lock. I have mailed to,"[0, 263]",0,en,0,2021-04-19 07:13:50
dreamtodeff,65,972,2013-02-18 11:27:10,False,"Agartala, India","Dear @amazonIN customers data are being leaked,  getting calls from random number pretending to be calling from Amazon  gift service, and the best part is they know what you have ordered recently, what is your address everything https://t.co/gau6UNLvdz","[0, 228]",0,en,0,2021-04-19 07:13:42
FreeVillie,10,511,2019-04-28 10:08:03,False,India,"@amazonIN @AmitAgarwal 

Your whole Customer Service approach needs a Reboot.

Escalating the Irritant Quotient seems to be your Customer Service Motto.

What Goes up can and will Fall too, if it can't Sustain it's Providers.

Always Remember!","[0, 243]",0,en,0,2021-04-19 07:09:16
ShieldVoC,17698,98,2019-06-08 15:40:33,False,"Stockholm, Sweden",RT @09A_Shakya: I had ordered a mobile phone on 13th April 2021 from @amazonIN and it was expected to deliver by 16th April. It's 19th now…,"[0, 139]",0,en,1,2021-04-19 07:09:05
Khushi24727657,103,1239,2018-12-31 06:20:20,False,india,"Pharma Science Resizer Capsules Garcinia Cambogia Extract for Weight Manage... https://t.co/iKVDdcBd0Q via @amazonIN 

#weightloss #herbal_weight_loss #fat_burner_ayurvedic #garcinia_cambogia #appetite_control https://t.co/3jlxHsYkE9","[0, 209]",0,en,0,2021-04-19 07:08:09
Shivu56172949,0,2,2021-04-16 09:45:07,False,,@IqooInd @amazonIN 😲😲😲😲,"[19, 23]",0,und,0,2021-04-19 07:06:30
SakshamHanda3,2,252,2019-05-28 21:16:12,False,,"RT @IqooInd: The ultimate duo is here!

The Dual Chipset in iQOO 7 - Dual Chip Monster with with Qualcomm Snapdragon 870 + Intelligent Disp…","[0, 140]",0,en,37,2021-04-19 07:06:07
apkamishra,0,0,2019-01-20 09:48:34,False,"New Delhi, India","RT @ApoorvPradhan: @amazonIN @amazon @AmazonHelp 
I want help regarding my this order. 
I placed this on 26, was delivered to ""my"" home at…","[0, 139]",0,en,2,2021-04-19 07:05:20
RahulAhir_,11,185,2018-12-31 04:12:33,False,"Ahmadabad City, India","@JeffBezos @amazonIN
My order delivered in 9/April
Bat not receive 
Up to 11day not helping customers service and not social media customer  helping 
What cen I doo
And seller whose left Amazon 
Not refand and delivered product
Please not bay Amazon product
Not trashted Amazon","[0, 277]",0,en,0,2021-04-19 07:05:02
harishsavanur,26,578,2009-08-18 10:55:02,False,Hubli,"@AmazonHelp @amazonIN @Flipkart @consumerforum_ @mipaltan  @smart_mumbaikar  i've ordered antivirus software on 25th March, no delivery till date. No contact number of Amazon customer service on website. Did I lose my money forever?","[0, 232]",0,en,0,2021-04-19 07:04:43
GowdaINNagesh3,4,79,2019-09-22 08:25:33,False,"Krishnarajpet, India","@amazonIN #don't purchase amazon, dear friends amazon is cheating https://t.co/jUgSkPRyjw","[0, 65]",0,en,0,2021-04-19 07:04:08
niteshb69,74,88,2014-10-24 15:14:22,False,भारतीय,@amazonIN Product despatch status according to Amazon. What's this? https://t.co/M3i9lIEXNf,"[0, 67]",0,en,0,2021-04-19 07:02:48
nidhi5ux,122,749,2010-04-05 15:12:35,False,India,"No resolutions still, call center guys continue to give fake promises. Pathetic experience. Amazon should refund my Prime membership fees and full refund of orders that did not reach me. @AmazonHelp @amazonprimeIN @amazonIN @jagograhakjago @amazon","[0, 247]",0,en,0,2021-04-19 07:02:40
PINAKIR56775348,3,75,2018-09-22 08:22:11,False,"Kolkata, India","RT @RupaKnitwear: Looking for Comfort, Style &amp; Uniqueness for Kids ? then Look only for Frontline.
Shop HUNK Drawer @ https://t.co/CR4VksBd…","[0, 144]",0,en,1,2021-04-19 07:01:48
974dc6d2748b434,20,168,2014-08-31 12:49:35,False,,@AneeqPrateek @amazonIN Thanks bro,"[24, 34]",1,en,0,2021-04-19 07:01:37
barandbench,340904,1264,2009-08-21 10:45:26,True,"Del, Blr, Mum, Chennai","[Amazon v. Future] Supreme Court stays proceedings before Delhi High Court on enforceability of Emergency Award

#Amazon @amazonIN #SupremeCourt 

Read story: https://t.co/0pVxLrj1NS https://t.co/9d2nNtHAQZ","[0, 182]",5,en,1,2021-04-19 07:00:56
AneeqPrateek,87,512,2020-10-14 13:11:17,False,,@974dc6d2748b434 @amazonIN Awesome Mohammed! Very happy that you got a productive everyday useful commodity 🥳🥳,"[27, 110]",2,en,0,2021-04-19 07:00:31
vamshiR7_,39,1400,2013-10-14 12:26:41,False,India,"RT @IqooInd: The ultimate duo is here!

The Dual Chipset in iQOO 7 - Dual Chip Monster with with Qualcomm Snapdragon 870 + Intelligent Disp…","[0, 140]",0,en,37,2021-04-19 07:00:31
Ali_Champarni,3643,3361,2012-11-04 09:17:58,False,"Gandhi कि धरती चंपारण,बिहार से","RT @Ali_Champarni: I did order a product by https://t.co/sEOWYrc6RQ,
But Product got delivered without deliver to me

@amazon 
@amazonIN 
@…","[0, 140]",0,en,3,2021-04-19 07:00:26
Khushi24727657,103,1239,2018-12-31 06:20:20,False,india,"Pharma Science Mass And Weight Gainers Nutrition Supplements Powder Improve... https://t.co/UAYrNF3JDS via @amazonIN 

#weightgainer #muscle_gainer #protein_powder #ashwagandha #safed_musli #ayurveda #weight_increase https://t.co/ayPUdEz1Ok","[0, 216]",0,en,0,2021-04-19 07:00:11
Ali_Champarni,3643,3361,2012-11-04 09:17:58,False,"Gandhi कि धरती चंपारण,बिहार से",@ModiLeDubega_ @amazon @amazonIN @AmazonHelp @JeffBezos 😕,"[56, 57]",0,und,0,2021-04-19 07:00:05
neontasmi,25,183,2017-07-01 20:08:36,False,"Bengaluru, India","@amazonIN  have you lost it??????
You can't get a order right, your customer service is trash and of no use.","[0, 108]",0,en,0,2021-04-19 06:59:56
Ali_Champarni,3643,3361,2012-11-04 09:17:58,False,"Gandhi कि धरती चंपारण,बिहार से","RT @ModiLeDubega_: @amazonIN @AmazonHelp 
Let the problem be resolved.","[0, 70]",0,en,1,2021-04-19 06:59:29
Ali_Champarni,3643,3361,2012-11-04 09:17:58,False,"Gandhi कि धरती चंपारण,बिहार से",RT @ModiLeDubega_: @Ali_Champarni @amazon @amazonIN @AmazonHelp @JeffBezos Take the problem into cognizance,"[0, 107]",0,en,1,2021-04-19 06:59:24
BumchumsFashion,654,307,2010-09-03 13:00:05,False,India,"Looking for Style &amp; Comfort? then Choose only #bumchums.
Shop @ https://t.co/EUtOLrvIlF
Also shop @Flipkart :- https://t.co/eygWPe38re
And @amazonIN : https://t.co/4Hqs8AvBHl
#casualwear #athleisure #tee #bermuda
#casualwearfashion #athleisurewear #tshirt #bermudashorts https://t.co/SQyuA8t7Eh","[0, 274]",0,en,0,2021-04-19 06:59:06
nidhi5ux,122,749,2010-04-05 15:12:35,False,India,"RT @nidhi5ux: Prepaid orders not getting delivered n status changes to delivered repeatedly, orders r misplaced, amazon prime membership is…","[0, 140]",0,en,2,2021-04-19 06:59:01
RupeshK14449500,64,124,2020-05-10 00:40:01,False,,There Is totally fix by Amazon fraud they do three time investigation and after 15days later they reply what a good trick by Amazon by harassing customer. Not issue refund or replacement for just wrong mobile sent.@amazonIN @AmazonHelp @JeffBezos https://t.co/iqESac01IP,"[0, 246]",0,en,0,2021-04-19 06:59:01
ShieldVoC,17698,98,2019-06-08 15:40:33,False,"Stockholm, Sweden",RT @shubhamnawari: @AmazonHelp @amazon @amazonIN @ConsumersAffair @JagoGrahakJagoo @ConsumerReports   please check the attachments. These 2…,"[0, 140]",0,en,1,2021-04-19 06:58:16
manikumar4144,305,1493,2012-05-09 08:09:18,False,"Bengaluru South, India","RT @IqooInd: The ultimate duo is here!

The Dual Chipset in iQOO 7 - Dual Chip Monster with with Qualcomm Snapdragon 870 + Intelligent Disp…","[0, 140]",0,en,37,2021-04-19 06:57:53
ashfaq_sufi,22,129,2018-02-09 22:20:26,False,Jammu And Kashmir,Best gaming experience @iqoolnd @amazonIN #IQOO7series https://t.co/GzQtaeTu9a,"[0, 54]",0,en,0,2021-04-19 06:56:54
naishayy,0,7,2020-07-27 11:48:02,False,,"On one hand govt is encouraging WFH and on the other hand electronics are not considered as an essential!
When my WIFI (or any related electronic) stops working, how should I work from home ??
@CMOMaharashtra @amazonIN @Flipkart @PiyushGoyal 
#rotikapdamakanaurinternet","[0, 269]",0,en,0,2021-04-19 06:56:33
LekhrajRajpoot9,128,540,2018-09-05 12:11:24,False,"सुल्तानपुर, भारत","RT @IqooInd: The ultimate duo is here!

The Dual Chipset in iQOO 7 - Dual Chip Monster with with Qualcomm Snapdragon 870 + Intelligent Disp…","[0, 140]",0,en,37,2021-04-19 06:56:14
MujahedMohanmed,179,435,2014-03-28 13:37:58,False,"Nanded-Waghala, India","@AmazonHelp Still waiting to get reply from your team @amazonIN kindly returned my mony pleaSe.
After I am getting my mony I will uninstall @amazonprimenow application.","[12, 168]",0,en,0,2021-04-19 06:56:14
