labels,Text,likes
-1,nigga update yall headphones @apple,805
0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: ,507
-1,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: ,344
-1,"ok, @apple. you win. i won't use your browser anymore since it keeps closing on me. literally 8 times today. i counted.",159
0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: ,230
-1,@thehill @apple i cite the us constitution where judges cannot pass laws! violation of the separation of powers,575
-1,@apple u need to get ur fucking shit together and let me txt while on youtube,111
-1,@thehill @apple wish we could prosecute the admin for violation of privacy and criminal search and seizure,658
0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: ,36
0,@thehill @apple furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the us gov.,298
0,this one chart explains @tim_cook's affect on @apple. paints an interesting story. what do you think? ,795
0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: ,784
0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: ,149
0,"final #aapl #putcallratios for monday, december 1, 2014 ",1101
0,#aapl launches red #apple logo for world aids day: dec. 1 is world aids day and the red apple logo will be abl... ,443
0,5 companies growing faster than apple inc.  #aapl,101
-1,@apple why doesn't your people explain precautions when buying an expensive laptop,506
0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: ,402
0,@quailman_ @apple u was bored huh,615
0,rt @wagner_tim: @robconeybeer: you need an ip portfolio to defend against big companies - just look at @samsung @apple court battles,552
-1,"as a die hard @apple customer, i must say i am truly displeased with the customer service i was given today. #badservice #apple",105
-1,@apple made it clear today that i as a customer are not worth a measly $79!! an employee gave mis info and they will not stand behind it,619
0,inspi(red) by @apple and @tim_cook on #worldaidsday. 100% of #appsforred in @appstore go to fight aids. get @farmville2 and @csrracing @red,444
0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: ,146
0,16gb @apple #ipad air 2 retina wifi tablet $400 + free shipping via #ebay  #cybermonday #firstworldproblems,526
1,photo: love ios 8 @apple @iphone #love #ios8 #nocrop #iphone #young #phone #screen #capturescream #boy... ,372
-1,why does @apple force people to use its vpn built in to ios8? off button doesn't work ffs. like i want apple's nsa data collection service.,419
-1,then how the hell did i take this screenshot? @apple @timcook ,422
0,rt @thehill department cites 18th century federal law to get @apple to unlock iphones: ,581
0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: ,152
-1,buy round lot on the open mt @wsjd #aapl stock briefly dove 6.4% today. analysts not sure why  ,171
-1,3g is draining my battery fix this @apple,271
-1,@apple your chargers suck ass! they just love to break!,402
0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: ,172
0,"#aapl:my three horsemen of the nasdaq 100:  apple, microsoft and gilead scie...",366
0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: ,935
-1,i'm hoping @apple won't automatically make us download bruce springsteen and u2 singing together.  #u2 #bruce #espn #thatwasbad,686
-1,@thehill @apple what a joke! justice dept should prosecute killer wilson in pursuit of justice. #ferguson is not over!,1711
0,@aydlettgwyn13 @apple please educate us,58
-1,rt @tinfoiltricorn: @thehill @apple wish we could prosecute the admin for violation of privacy and criminal search and seizure,317
0,the game #traders play in the name of #market #liquidity #hft #darkpools #stock #trading #algorithms #aapl  ,1553
0,#aapl:10 steve jobs emails you need to read...,1100
-1,so so sooooo annoyed. did the restore from my back up and lost my voice mails. i needed to keep those. thanks a lot @apple,497
-1,thisn#yosemite update is stressing me out @apple #macbookpro,109
-1,just broke my 3rd charger of the month. get your shit together @apple,77
-1,"this iphone 6 battery isn't as good as you claim, @apple",112
-1,#nasdaq big fall. @fb @baba @twtr @linkd @apple fell 3-6% on monday! see whether follow up ..,334
0,"#iphone #users face big change over @apple [#apple]'s google search choice. (#monday, 1 #december) ",630
0,rt @chanchan1717: @aydlettgwyn13 @apple please educate us,699
1,"just updated my ram to 16gb. @apple you guys are like shallow gf's. take all the money, but dammit you look good.",460
-1,@apple @iphone4 oh it's not fair and i think you're really mean,240
0,#whoknew why isn't @apple on twitter?  #interestingfact #passingthetime,667
0,rt @jodispicer: #whoknew why isn't @apple on twitter?  #interestingfact #passingthetime,1036
1,ibm: @apple ios users account for 21.6% of all online sales. 3x @android users (6.6%). they are dominating. #business #sales #cybermonday,349
-1,i hate how ios 8 capitalizes random words like i dont wanna give emphasis to some stupid word in tha sentence get ur self together @apple,552
0,@gr8american23 i've made clear i support rand paul in 2016 in most cases. why is everyone pigeonholed as red or blue? also u like @apple?,45
-1,@apple why was the iphone 4 ever created,149
-1,@apple i fucking hate you ,362
1,@apple please can i have new phone for christmas? #spreadsomejoy,279
0,#nasdaq100 #recent #market #exit #4: sold $aapl long for a 10.49% #gain in 20 days. #aapl #forex #trading #stocks,84
0,.@apple rumoured to be launching a 'mega tab' because #biggerisbetter ,722
0,"apple inc. pt upped by barclays, morgan stanley trims stake  #aapl",135
-1,it's not like the app costs money just let me download it @apple,680
0,"rt @hamzeianalytics: new ha blog post &gt;&gt;&gt; final #aapl #putcallratios for monday, december 1, 2014:  ",73
0,#aapl:jim cramer's 4 best stock picks for the health care sector...,6
-1,my phones been charging for an hour but it keeps losing percentage?? get ur shit together @apple,453
0,"steve jobs, clave en juicio contra @apple   ",329
0,"rt @elnuevoherald: steve jobs, clave en juicio contra @apple   ",623
0,"rt @elnuevoherald: steve jobs, clave en juicio contra @apple   ",2563
0,my laptop was completely dead and blacked out for 2 days &amp; i finally opened the inside and fixed it. hire me @apple,220
-1,@baseballbridget @apple we couldn't even get a turkey for tday so they just don't care... #appleemojissuck,53
0,"rt @elnuevoherald: steve jobs, clave en juicio contra @apple   ",238
-1,rt @toricolelli: my phones been charging for an hour but it keeps losing percentage?? get ur shit together @apple,527
0,"#apple (nasdaq: #aapl) participates in world aids day campaign:  #apple, #aapl, campaign... ",543
1,rt @_iamgambino: thank you @apple,1110
-1,how long does it really take for a phone to ship @apple smh,371
0,@apple #ipod lawsuit will reveal unseen steve jobs video ,301
0,rt @smartoutsource1: @apple #ipod lawsuit will reveal unseen steve jobs video ,8
-1,"so, on my iphone5, the @apple health kit is no longer gathering data.  sigh.",3198
0,"trade $aapl #free nightly updates are #posted here on #twitter, or you can visit the #trade #aapl free #website here ",176
-1,thanks @apple for changing yet another fuck into duck...thanks.,237
-1,@apple yh news apple tumbles as much as 6 percent in unusual trading: by chuck mikolajczak new york (reuters) ...  ,254
0,rt @donacamp: brass band at @apple store broadway #winterseve #nyc ,363
-1,if i buy a 16 gb phone i should have 16 gb's to use @apple,126
-1,fuck you for breaking my music @apple,376
0,rt @donacamp: brass band at @apple store broadway #winterseve #nyc ,73
0,"have #apple, inc.'s #ipad sales peaked? #aapl ",471
0,rt @donacamp: brass band at @apple store broadway #winterseve #nyc ,252
0,barclay's #apple analyst joins the crowd and increases price target - forbes #aapl ,43
-1,just need @apple to come out with a charger cord that keep a charge &amp; don't fall apart ,405
-1,rt @amandazuckerman: you should be able to forward a voicemail. why isn't that a thing? @apple,189
-1,@apple and @facebook i speak for all of humanity; we want to chose what contacts are added to our contacts book from #facebook #thanks,779
-1,@apple i h8 everything about u,110
0,@apple i want my pictures back,28
-1,my phone is on acid right now @apple fix this,211
-1,@apple i had a power cord problem- under warranty. you said it would be fine. it isn't. and now you won't replace it? ,818
-1,@apple this was normal use-- no abuse! wrapped it exactly as you instructed me to. this is a fire hazard. you should replace it. #defective,35
1,"@apple btw, i love all of your products.  they rock!  your power cords are junk.  you seriously need to fix this!",60
0,rt @donacamp: brass band at @apple store broadway #winterseve #nyc ,178
-1,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: ,37
-1,yo @apple fix your shitty imessage,150
1,#aapl rt @aboveavalon apple's share repurchases have benefited shareholders by $80 billion  ,238
1,"even with apple watch delayed, i'm raising my aapl price target to $165 -  #aapl #alex_cho",48
1,i love @airmiles! between @chaptersindigo &amp; @apple i earned ~200 miles during the #blackfriday sale! #freemoney #centsability #cybermonday,77
-1,yo! @apple this auto correct shit gotta stop!!! changing my shit right when i send it,547
0,first @apple logo was designed by co-founder ronald wayne. drawing of isaac newton reading a book under an apple tree,270
-1,those** pick up the slack you fuck boys @apple,439
1,@surface maybe good product but never better then @apple macbook air .... it's a fact,170
-1,@apple of course that's not their mother fucking @,500
0,apple inc. store logos turn red for world aids day  #aapl,461
-1,the fuck kinda gay shit you print in the fucking ketosis @apple,398
-1,game*** @apple you bitches really trying me tonight! rt @dremacsamillion: @whosflyy__ gams night gawd,1472
0,apple ceo tim cook comes out as gay @apple     via @posh360_net,557
-1,rt @bella_bong_: @apple u need to get ur fucking shit together and let me txt while on youtube,50
-1,@apple @disney why can't i buy any version let alone the version i actually like of star wars on @itunesmovies #stupid #lame #starwars,113
0,@apple @tim_cook perhaps a less malleable metal for the shell of the #iphone6splus. #noticedsomecurve,851
0,macbook pro 13   non-retina first startup:  via @youtube @apple #macbook #macbookpro #startup #hipster,91
0,macbook pro 13in unboxing:  via @youtube @apple #macbook #macbookpro #startup #hipster #unboxing,1780
0,ipad mini unboxing!:  via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unboxing,168
0,ipad mini first time startup!:  via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unbox,785
0,@apple where the ipod 6 at doe?,1065
-1,can @apple drop audio only rendition requirement for ios apps?  users hate it  no other stores want it other platforms don't know what it is,507
-1,"none too happy with @apple mac os x (yosemite), file vault 2, or boot camp right now. thankful to own a @lenovo.",519
0,"#iphone6s to #emerge spring 2015 with @apple [#apple] watch?. (#tuesday, 2 #december) ",279
0,all my apps on @apple #ipodtouch5thgen  ,812
-1,i demand there be a tapatio emoji @apple,362
0,my apps @apple #ipodtouch5thgen  ,104
0,#aapl: call america for free until christmas: tesco cuts costs for relaunch... ,54
-1,so for the second time #aapl #pages ate my edits. 700bn? #amateurs #fail #iwantjobsback,382
-1,feel so lost with out my phone :(  @apple iphone 5 chargers are horrendous! #brokenchargerprobs,497
0,#aapl:apple heads to trial over digital music claims...,69
-1,excellent news #houseofcards s3 on @netflix 27/2! i wonder if yosemite &amp; my wifi will be talking by then @apple @tim_cook ? it's been wks!!,790
-1,@apple my laptop is burning my legs what do u have to say about this,335
1,@benh4ll @netflix @apple @tim_cook great news! hope your wifi gets sorted though!,175
0,the secret of life from steve jobs in 46 seconds. some #motivation from the late ceo of @apple ,402
0,10 best #stevejobs #apple #aapl #tech30  via,933
-1,@hammerarcade this makes me feel so sad ;-; why do u have to be so rood @apple,147
-1,i hate these @apple earphones so bad. why in the world did they think it was a good idea to p  ,1098
0,@quentinnield @apple i need to reinstall on my apple ipad 2,359
1,"@apple, i salut you! @kcdenton's photo ",255
0,macbook pro 13   non-retina first startup:  via @youtube @apple #macbook #macbookpro #startup #hipster,984
0,macbook pro 13in unboxing:  via @youtube @apple #macbook #macbookpro #startup #hipster #unboxing,571
0,ipad mini unboxing!:  via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unboxing,142
0,ipad mini first time startup!:  via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unbox,26
0,"smartphone/tablet to become home automation hub, how can any wireless protocol beat #wifi and #bluetooth @apple #homekit @shortcutlabs #flic",896
0,options outlook amid heavy week of economic events  #aapl #goog #googl #tsla #wmt #premarket #markets,202
-1,why you dying so fast phone? fuck you @apple,596
0,"it's been said 'don't talk about politics', but i can't take it anymr. i'll still post about @cisco, @apple and others. but we need change.",1202
0,does anybody knows how to use å£ on a macbook pro retina us keyboard? thank you so much! @apple #macbook #pro #apple #keyboard,1442
0,the best guest behind apple's rapid stock price decline yesterday is algorithmic trading. $40bn wiped off by automatic computer trades #aapl,198
0,@apple awarded #patent 4 #augmented reality devices w #transparent #displays -  ,512
-1,@apple #apple #iphone @iphone #iphone4s #iphone4problems  someone fucking help me someone who works at apple fucking help me do ur job cunts,67
-1,"wtf @apple, synching notes or icloud pages is unusable. it used to be easier.",118
0,#nasdaq100 #recent #market #exit #4: sold $aapl long for a 10.49% #gain in 20 days. #aapl #forex #trading #stocks,98
-1,hey @apple fuck you just let me change stores,1418
-1,about to write a huge fuck you to @apple for not letting me make reservations to get my laptop fixed,109
-1,apple tumbles as much as 6 percent in unusual trading $aapl #aapl ,195
0,"@angusdick yes, had that exact issue. took it to @apple for a free battery replacement. trackpad ended up being fine.",414
-1,@jimcramer says 'machines' caused @apple's big drop $aapl  ,592
-1,@maxscottslade @apple yeah the trackpad is fine and working now! but i had to damage one of the screw holdings to get the battery out,1569
0,"video shows size of 12.2-inch 'ipad air plus' mockup next to iphones, ipads, and macbook  #aapl",724
0,"rt @elnuevoherald: steve jobs, clave en juicio contra @apple   ",276
-1,@apple #fail - since updating my #ipad #os there is a #bug that does not delete videos and free up memory forcing... ,579
0,"apple opening new retail store in toledo, ohio saturday, december 6 [mac blog]  #aapl",32
0,why morgan stanley is negative on apple and the tech sector $aapl #aapl ,73
0,google is now beating apple in this one key sector $aapl #aapl ,263
0,bbc news - evidence by late steve jobs to be used in music trial #aapl  ,200
-1,my alarm was set the ringer was on and it just refused to work fuck u @apple,265
0,@twitter @facebook @alibabatalk @google @apple n more in race to win payments? what's future of #payments start-ups? @microsave @fintechhub,315
-1,"i'm lost because it's deer season, but there is no deer emoji. come on @apple, how am i suppose to show the love to all my huntin' friendz?",415
0,@neimanmarcus utilizing ibeacons for #engagement to send messages to @apple passbook #personalization  via @pymnts,354
0,technology news: @apple trial to feature unseen late #stevejobs video deposition ,119
-1,@apple i figured out #memory issue on my #ipad. it wasnt a #bug but a new hidden folder that stores our  images... ,707
0,we will be in room 1215 at 3:15 today presenting on our experience with @apple dep and @jamfsoftware   #herewegolakers,110
0,#aapl:pacific crest's apple analyst reiterates selling some shares...,175
0,pacific crest's apple analyst reiterates selling some shares $aapl #aapl ,79
-1,#applelawsuit depends on exactly what @apple did to hold back/beat their competition. there are fair game competitive tactics &amp; unfair 1s yk,601
0,#aapl:     audio: auto sales due; apple lawsuit heads to court...,188
0,apple's pt raised by canaccord genuity to $135.00. buy rating.  $aapl #aapl,485
0,apple's pt raised by canaccord genuity to $135.00. buy rating.  $aapl #aapl,1058
-1,"iphone6 has too many issues,  why tf is the earphone plug in not working @apple u better fix this shit for free.",328
0,cheap chromebooks teach apple a lesson: price matters $aapl #aapl ,377
-1,@mcmillanstu @d1pz... but trying to get launch info ahead of time from telco marketing teams was a nightmare - thanks @apple! #ecomchat,529
-1,dear @apple replace my phone my battery sucks,50
0,#apple heads to trial over itunes update #aapl ,974
0,from beyond the grave! rt @gma: jurors set 2 hear fr star witness at @apple trial: steve jobs.  ,151
0,.@apple heads to trial over digital music claims $appl #tech,512
1,"fantastic service today @apple store touchwood - thanks to all, &amp; esp zach for sorting my battery problem so quickly &amp; efficiently.",161
0,here's why apple dropped $aapl #aapl ,147
0,apple intraday comments - pre-opening - premium users  #aapl #stockaction #trading #stocks #mkt ,944
0,@losskitty @apple its always like that with new products from apple,132
-1,rt @laurrynk: dear @apple replace my phone my battery sucks,91
-1,"@thisdueemarco @apple thats annoying, they never get stuff right the first time.",1952
0,@jimcramer what is going on with #aapl....,167
0,apple lower as analyst sees risk of sharp production cuts for iphone 6 plus in q1 $aapl #aapl ,175
0,rt @jpdesloges: apple lower as analyst sees risk of sharp production cuts for iphone 6 plus in q1 $aapl #aapl ,163
-1,rt @laurrynk: dear @apple replace my phone my battery sucks,995
1,thestreet:  #apple gets price target boost on back of strong #iphone demand #aapl ,403
0,#aapl mt @fortunemagazine can apple clear name in ebooks drama? eddy cue says he'd do it again- but take better notes ,353
1,@apple with now dual core technology ,129
0,pacific crest's #apple analyst reiterates selling some shares - forbes #aapl ,532
0,every student deserves a chance @apple #connected #txed,913
-1,i'm surprised there isn't more talk about what looked like a flash crash in #aapl yesterday. biggest range in years and largely ignored,448
-1,i'm surprised there isn't more talk about what looked like a flash crash in #aapl yesterday. biggest range in years and largely ignored,588
0,a lack of equal access to technology places students and minorities at a disadvantage.  education is the great equalizer @apple #txed,1199
0,rt @ratingsnetwork: apple's pt raised by canaccord genuity to $135.00. buy rating.  $aapl #aapl,609
0,apple - fibonacci technicals levels - intraday - pre-opening $aapl #aapl  ,1061
0,"realmac software launches 'typed', a markdown writing app featuring a minimal interface [mac blog]  #aapl",264
0,@mazeonpace @apple product line competes with itself. iphone6+ vs. ipad. who needs an ipad any longer!?,1448
0,#aapl:'fast money' recap: energy companies ebb and flow with oil prices...,36
1,enjoying the introductions at the @apple #connected launch event.  some amazing #edtech leaders in the room.  #txed,165
1,got a new phone. @apple  #iphone6plus ,1238
0,3 more #applewatch details exposed #aapl ,1366
0,u.s. government attempts 'hail mary' to get #apple to unlock #iphones #aapl ,683
0,apple - fibonacci technicals levels - intraday  update - $aapl #aapl  ,987
-1,here's why #apple won't be a trillion dollar company according to billionaire vc jim breyer #aapl ,402
-1,chromebooks overtake apple's ipads in u.s. education market  @apple @googlechrome #chromebooks #ipad,62
-1,apple inc. is doomed. $aapl dropped by 1.54%! currently priced at 113.3.  #aapl,357
0,imagine a world without cracked #iphone screens! @apple patents drop protection mechanism  ,151
0,.@apple #healthkit first movers featured at @mhealthsummit | mobiquity's own @snyder4g also panelist @mhealth14 ,400
0,#aapl:how to remove apple pay credit cards remotely from ,994
-1,.@apple wants you to stop taking vertical photos:  via @outsidemagazine,576
0,10 best steve jobs emails #apple #stevejobs #aapl ,43
0,apple is reportedly planning a 12-inch ipad that will be like microsoft's surface $aapl #aapl ,383
0,"@apple [#apple] #patents an #iphone drop protection mechanism that changes device .... (#tuesday, 2 #december) ",288
1,props for @apple itc app review team for reviewing metadata rejected resubmission in just 2 hours! thanks!,36
0,apple bears get paid as put contracts double amid drop  #news #aapl #applebears #appleoptions #apple #iphone #news,580
1,what's at the core of @apple's new #ios7? excellent updates for your phone's #mobilesecurity. #mcafee - ,665
1,thanks @apple for 'keep newer' when transferring files from a local hard drive to a server.,58
0,does @apple store in georgetown sell refurb'd ipads? or just new? are refurbs only available online?,385
0,apple - fibonacci technicals levels - intraday  update - $aapl #aapl  ,957
0,apple flash crash: what you need to know #aapl ,482
0,why estimates of a 1 trillion market cap for #apple are still far-fetched: fundamental and algorithmic analysis #aapl ,13
0,"@capitolization @apple i believe they are only online, but you may be able to 'ship to store'.",126
-1,did you notice that @apple apps now say 'get' instead of 'free'? this change was due to alleged misleading labeling. ,1201
0,apple intraday comments - updated range - premium users  #aapl #stockaction #trading #stocks #mkt ,147
0,"#aapl market cap passes $700 billion, tablet sales slump and more  ",598
0,@drewbsaunders thanks. also interestingly @apple isn't apple.,385
-1,@shortyawards @apple it is very confusing u wonder if it means u are going to get a bill later for ur download please use free if it's free,265
0,elgato launches thunderbolt 2 dock with 4k resolution support [mac blog]  #aapl,38
0,"the @sony #e-paper fes #watch is the coolest piece of #wearable #tech yet, sorry @apple  by @luchanglu via @bustle",652
0,finally gave up on return of @apple 17' macbook pro model. my 15' retina is 'out for delivery'. they'll probably announce one next month ;-),794
0,apple intraday comments - updated new range  - premium users  #aapl #stockaction #trading #stocks #mkt ,139
-1,apple  loses ground to google  in education tablet sales $aapl #aapl ,658
0,apple computer inc (aapl) rated buy with price target $135 by canaccord genuity  #aapl,941
-1,@apple what do i need to do if my mac has been really slow lately ?,388
0,apple - fibonacci technicals levels - intraday  update - $aapl #aapl  ,580
1,rt @tra_hall: enjoying the introductions at the @apple #connected launch event.  some amazing #edtech leaders in the room.  #txed,53
0,$aapl #aapl green right now. hope it stays.,211
0,rt @gregsherry customer service successes &amp; fails @apple &amp; @southwestair   examples  @dkusnetzky #custserv #cx #cem,149
0,sprint offering to halve wireless bills for customers switching from at&amp;t or verizon [ios blog]  #aapl,1416
0,affluent apple users out-spend android users but what do the numbers really mean? $aapl #aapl ,1364
0,"new meaning to soviet jokes 'whatever we produce, it turns out as tank': #russia seeks #kalashnikov to rival @apple ",24
-1,your stupid as shit upgrade has ruined the god damned ide @apple,392
-1,you pieces of shit @apple!  god damnit man!,601
-1,"hey @apple, how come i can't make genius bar appointments online anymore?",204
0,have apple's ipad sales peaked? #aapl ,190
-1,what happened? rt @khaleel you pieces of shit @apple!  god damnit man!,518
0,apple gets price target boost on back of strong iphone demand $aapl #aapl ,111
0,#aapl:6 reasons apple could have fallen 6% yesterday...,120
0,@apple pay = compuserve | btc = the internet,1649
0,"#apple lower following cautious pac crest, deutsche notes #aapl #crus ",508
1,awesome! @apple invented peanut-butter-sandwich technology for phones. ,172
0,apple - fibonacci technicals levels - intraday  update - $aapl #aapl  ,2128
-1,lol fuck you. i'm still not buying a new one. @apple ,675
0,"aapl 'buy' reiterated,  target raised to $135 by canaccord genuity $aapl brief explanation here:   #aapl",22
0,#aapl:canaccord ups apple price target to $135 a share...,618
0,"economic temperature spiking, or terrorist attack?  either way, how you're not all in... via @zerohedge #aapl ",337
-1,@apple has caused me so much pain today,611
-1,"#as @apple [#apple] still struggles to #meet #iphone6 demand, #canaccord raises price .... (#tuesday, 2 #december) ",216
-1,not cool @apple ... not cool. you just bait-and-switched me into paying for an upgrade to server after a 'free' upgd. to 10.10.1?,30
0,steve wozniak to star in an upcoming reality tv show focusing on futuristic tech [mac blog]  #aapl,769
-1,iphone shortages not helping radioshack as consumer sales plummet  #aapl,37
0,#stevejobs will be a crucial witness against #apple in an #ipod antitrust suit via @bgr #aapl  ,27
1,"thestreet:  #android phones to dominate through 2018, while #ios phone revenue will dazzle #goog #aapl  ",42
0,thestreet:  #apple gets price target boost on back of strong #iphone demand #aapl  ,26
0,rt @jopocop: thestreet:  #apple gets price target boost on back of strong #iphone demand #aapl  ,515
0,#apple should fight new court case over #stevejobs' drm decision - forbes #aapl ,7
0,"all computers are susceptible to adware, and don't believe that @apple computers are immune! see this post from apple ",153
0,6 reasons #apple could have fallen 6% yesterday - forbes #aapl  ,95
-1,@apple can yall please send me my fuckin phone,252
-1,anyone know how to fix this? #xcode @apple no simulators... tried complete reinstall #ios ,540
0,apple bears get paid as put contracts double amid drop $aapl #aapl ,325
0, @apple early adoption issues?? for #applepay #blackfriday #tokenization ,23
-1,cnbctv:  #apple fighting monopoly allegations #aapl ,828
0,cnbctv:  #iphone growth peaked? #aapl  ,216
0,cnbctv:  analyst worries about #iphone growth #aapl ,1582
1,cnbctv:  #cramer: #applewatch a dazzler #aapl  ,28
-1,cnbctv:  #cramer: trading #apple suckers game #aapl ,242
0,cnbctv: #apple heads to trial #aapl ,238
0,rt @jpdesloges: apple bears get paid as put contracts double amid drop $aapl #aapl ,372
0,"@archimage @apple seen a bunch of people tweeting about. search twitter, then dev forums. i don't remember solution.",801
0,".@apple's iad #programmatic #advertising is a sign of the times, but it doesn't match the company's innovative rep: ",520
1,this is huge! my isp @winteknoc is peering directly with @apple @netflix @google &amp; others. getting 6ms ping response! ,780
-1,@apple make sd cards so we can add memory to our iphone because we all know you won't allow sd cards until you profit from it,293
1,"woah! 7% cashback from @apple store for #cybermonday deals at  #ipads, #iphones, #mac and more.",71
0,"all computers are susceptible to adware, and don't believe that @apple computers are immune! see this post from... ",537
0,apple intraday comments - new range - premium users  #aapl #stockaction #trading #stocks #mkt ,764
0,6 reasons apple could have fallen 6% yesterday $aapl #aapl ,1587
0,"@apple [#apple] #patents an #iphone drop protection mechanism that changes device .... (#tuesday, 2 #december) ",551
-1,google chromecast leapfrogs apple tv as the aging media player loses ground to rivals  #aapl,205
0,apple macbook (å£949.86)  @office_nerd @apple #tech ,212
-1,my phone keeps fucking freezing @apple,436
0,rt @ace_kit_uk: apple macbook (å£949.86)  @office_nerd @apple #tech ,138
0,rt @ace_kit_uk: apple macbook (å£949.86)  @office_nerd @apple #tech ,241
0,#gorgeous lighting @apple #grandcentralstation ,77
-1,when you can't hear people through your headphones thank you @apple for the headphones and @god,326
0,@apple new patent has its #iphone's doing mid air tricks to avoid breaking  #technology #apple #patent #tech,568
-1,i've been considering suing @apple for putting that shitty u2 album on my phone,427
0,. @apple patents drop-proof mechanism. breaks laws of physics with anti-gravity.  via @tomshardware #getagoodcase,596
-1,@macrumors @kellyhodgkins i believe it i bought an @amazon fire tv for $69 @apple you've lost another customer,117
-1,apple goes to trial over $1 billion digital music lawsuit in california $aapl #aapl ,421
-1,rt @unstanningzarry: my phone keeps fucking freezing @apple,1096
0,worth reading: #design comparison of @google and @apple's map apps:  #ux,33
0,@ohiloveariana damn i wish i could get u an iphone so we could imessage but i don't have enough money damn damm damn @apple,563
0,"morgan stanley sells apple inc., but aapl stock still a buy  #aapl",165
0,late apple inc. co-founder steve jobs 'testifies' in itunes case  #aapl,214
1,"@sparkingari @apple ikr! but u dont need to,bc i'll hopefully buy one on christmas if my grades are 17/20",347
-1,rt @sparkingari: @ohiloveariana damn i wish i could get u an iphone so we could imessage but i don't have enough money damn damm damn @apple,241
